Photo Name,Latitude,Longitude,Altitude,Yaw,Pitch,Roll,Horizontal Accuracy,Vertical Accuracy
C:/Users/janev/Desktop/DCIM/DJI_202103291204_006_Mapping3/DJI_20210329121904_0036.JPG,25.357807455,46.454805478,695.488,-90.2,-89.9,180,0.03,0.06
C:/Users/janev/Desktop/DCIM/DJI_202103291204_006_Mapping3/DJI_20210329121907_0037.JPG,25.357799461,46.454939893,695.5,-90.2,-89.9,180,0.03,0.06
C:/Users/janev/Desktop/DCIM/DJI_202103291204_006_Mapping3/DJI_20210329121910_0038.JPG,25.357792317,46.455076136,695.483,-90.2,-89.9,180,0.03,0.06
C:/Users/janev/Desktop/DCIM/DJI_202103291204_006_Mapping3/DJI_20210329121912_0039.JPG,25.3577854,46.455211662,695.487,89.7,-89.9,0,0.03,0.06
C:/Users/janev/Desktop/DCIM/DJI_202103291204_006_Mapping3/DJI_20210329121915_0040.JPG,25.357778732,46.455348859,695.476,-90.2,-89.9,180,0.03,0.06
C:/Users/janev/Desktop/DCIM/DJI_202103291204_006_Mapping3/DJI_20210329121918_0041.JPG,25.357771839,46.455484979,695.45,89.7,-89.9,0,0.03,0.06
C:/Users/janev/Desktop/DCIM/DJI_202103291204_006_Mapping3/DJI_20210329121921_0042.JPG,25.357763891,46.455622275,695.439,-90.2,-89.9,180,0.03,0.06
C:/Users/janev/Desktop/DCIM/DJI_202103291204_006_Mapping3/DJI_20210329121923_0043.JPG,25.357755305,46.455758957,695.439,-90.2,-89.9,180,0.03,0.06
C:/Users/janev/Desktop/DCIM/DJI_202103291204_006_Mapping3/DJI_20210329121926_0044.JPG,25.357749072,46.455869452,695.505,-90.1,-89.9,180,0.03,0.06
C:/Users/janev/Desktop/DCIM/DJI_202103291204_006_Mapping3/DJI_20210329121927_0045.JPG,25.357748578,46.455870359,695.475,90.3,-89.9,0,0.03,0.06
C:/Users/janev/Desktop/DCIM/DJI_202103291204_006_Mapping3/DJI_20210329121928_0046.JPG,25.357747371,46.45585225,695.521,-165.9,-89.9,0,0.03,0.06
C:/Users/janev/Desktop/DCIM/DJI_202103291204_006_Mapping3/DJI_20210329121931_0047.JPG,25.357744255,46.455781533,695.534,86,-89.9,180,0.03,0.06
C:/Users/janev/Desktop/DCIM/DJI_202103291204_006_Mapping3/DJI_20210329121934_0048.JPG,25.357737719,46.455657694,695.481,86,-89.9,180,0.03,0.06
C:/Users/janev/Desktop/DCIM/DJI_202103291204_006_Mapping3/DJI_20210329121937_0049.JPG,25.35772903,46.455519308,695.42,-93.9,-89.9,0,0.03,0.06
C:/Users/janev/Desktop/DCIM/DJI_202103291204_006_Mapping3/DJI_20210329121939_0050.JPG,25.357720888,46.455382293,695.435,86,-89.9,180,0.03,0.06
C:/Users/janev/Desktop/DCIM/DJI_202103291204_006_Mapping3/DJI_20210329121942_0051.JPG,25.357713316,46.455246803,695.444,86,-89.9,180,0.03,0.06
C:/Users/janev/Desktop/DCIM/DJI_202103291204_006_Mapping3/DJI_20210329121945_0052.JPG,25.35770541,46.455110788,695.425,86,-89.9,180,0.03,0.06
C:/Users/janev/Desktop/DCIM/DJI_202103291204_006_Mapping3/DJI_20210329121948_0053.JPG,25.357697317,46.45497521,695.437,86,-89.9,180,0.03,0.06
C:/Users/janev/Desktop/DCIM/DJI_202103291204_006_Mapping3/DJI_20210329121950_0054.JPG,25.357689208,46.454839228,695.436,86,-89.9,180,0.03,0.06
C:/Users/janev/Desktop/DCIM/DJI_202103291204_006_Mapping3/DJI_20210329121953_0055.JPG,25.357681225,46.454703393,695.429,86,-89.9,180,0.03,0.06
C:/Users/janev/Desktop/DCIM/DJI_202103291204_006_Mapping3/DJI_20210329121956_0056.JPG,25.357673245,46.454567855,695.43,86,-89.9,180,0.03,0.06
C:/Users/janev/Desktop/DCIM/DJI_202103291204_006_Mapping3/DJI_20210329121958_0057.JPG,25.357665097,46.454432149,695.425,86,-89.9,180,0.03,0.06
C:/Users/janev/Desktop/DCIM/DJI_202103291204_006_Mapping3/DJI_20210329122001_0058.JPG,25.357656881,46.454294547,695.436,-93.9,-89.9,0,0.03,0.06
C:/Users/janev/Desktop/DCIM/DJI_202103291204_006_Mapping3/DJI_20210329122004_0059.JPG,25.3576487,46.454160862,695.439,86,-89.9,180,0.03,0.06
C:/Users/janev/Desktop/DCIM/DJI_202103291204_006_Mapping3/DJI_20210329122007_0060.JPG,25.3576405,46.454022153,695.435,86,-89.9,180,0.03,0.06
C:/Users/janev/Desktop/DCIM/DJI_202103291204_006_Mapping3/DJI_20210329122009_0061.JPG,25.357632323,46.453889083,695.433,86,-89.9,180,0.03,0.06
C:/Users/janev/Desktop/DCIM/DJI_202103291204_006_Mapping3/DJI_20210329122012_0062.JPG,25.357624044,46.453753079,695.442,86,-89.9,180,0.03,0.06
C:/Users/janev/Desktop/DCIM/DJI_202103291204_006_Mapping3/DJI_20210329122015_0063.JPG,25.357615693,46.453617587,695.432,86,-89.9,180,0.03,0.06
C:/Users/janev/Desktop/DCIM/DJI_202103291204_006_Mapping3/DJI_20210329122018_0064.JPG,25.357607399,46.453481996,695.421,-93.9,-89.9,0,0.03,0.06
C:/Users/janev/Desktop/DCIM/DJI_202103291204_006_Mapping3/DJI_20210329122020_0065.JPG,25.357598954,46.453345281,695.433,86,-89.9,180,0.03,0.06
C:/Users/janev/Desktop/DCIM/DJI_202103291204_006_Mapping3/DJI_20210329122023_0066.JPG,25.357590947,46.453209957,695.432,86,-89.9,180,0.03,0.06
C:/Users/janev/Desktop/DCIM/DJI_202103291204_006_Mapping3/DJI_20210329122026_0067.JPG,25.357582262,46.453074042,695.446,86,-89.9,180,0.03,0.06
C:/Users/janev/Desktop/DCIM/DJI_202103291204_006_Mapping3/DJI_20210329122029_0068.JPG,25.357574353,46.452939403,695.403,-93.9,-89.9,0,0.03,0.06
C:/Users/janev/Desktop/DCIM/DJI_202103291204_006_Mapping3/DJI_20210329122031_0069.JPG,25.357566879,46.452805553,695.453,-93.9,-89.9,0,0.03,0.06
C:/Users/janev/Desktop/DCIM/DJI_202103291204_006_Mapping3/DJI_20210329122034_0070.JPG,25.357559778,46.452665887,695.457,-93.9,-89.9,0,0.03,0.06
C:/Users/janev/Desktop/DCIM/DJI_202103291204_006_Mapping3/DJI_20210329122037_0071.JPG,25.357551195,46.452531276,695.479,-93.9,-89.9,0,0.03,0.06
C:/Users/janev/Desktop/DCIM/DJI_202103291204_006_Mapping3/DJI_20210329122040_0072.JPG,25.35754264,46.452394427,695.462,-93.9,-89.9,0,0.03,0.06
